PartID,PartCode,SAPMaterial,PartName,Brand,Description,Department,PartType,Query,StrongModel,Searchable
1,SPM-CAL-002,700004765,Burner Control for X122,Honeywell,EC 7890 B 1010,Coating,Electric,Honeywell EC 7890 B 1010 Burner Control for X122,True,True
2,SPM-CAL-005,700004800,Safety relay,Weidmuller,1319270000 SCS 24VDC P2SIL3DSES,Coating,Electric,Weidmuller 1319270000 SCS 24VDC P2SIL3DSES Safety relay,True,True
3,SPM-CAL-006,700004801,Ignition,Maxon,,Coating,Electric,Maxon Ignition,False,True
4,SPM-CAL-007,700004802,Analog Input Module,Siemens,6ES7 331-7KF02-0AB0,Coating,Electric,Siemens 6ES7 331-7KF02-0AB0 Analog Input Module,True,True
5,SPM-CAL-008,700004803,"Burner Control for X121 ,X123",Siemens,LMV51.100C2,Coating,Electric,"Siemens LMV51.100C2 Burner Control for X121 ,X123",True,True
6,SPM-CAL-009,700004807,Burner Control,Honeywell,EC7890 B 1010,Coating,Electric,Honeywell EC7890 B 1010 Burner Control,True,True
7,SPM-CAL-010,700004808,Sensor Cable,Turck,WKC8T-2/TEL,Coating,Electric,Turck WKC8T-2/TEL Sensor Cable,True,True
8,SPM-CAL-011,700004809,Pilot Lamp,Banner,TL50BGYRAQ,Coating,Electric,Banner TL50BGYRAQ Pilot Lamp,True,True
9,SPM-CLN-008,700004827,Chain,,25-1R,Coating,Mechanical,25-1R Chain,True,True
10,SPM-CLN-009,700004828,Chain Joint,,25-1R,Coating,Mechanical,25-1R Chain Joint,True,True
11,SPM-CLN-010,700004829,Roller Joint,,25-1R,Coating,Mechanical,25-1R Roller Joint,True,True
12,SPM-CLN-011,700004830,Chain,,35-1R,Coating,Mechanical,35-1R Chain,True,True
13,SPM-CLN-012,700004831,Chain Joint,,35-1,Coating,Mechanical,35-1 Chain Joint,False,True
14,SPM-CLN-013,700004832,Roller Joint,,35-1,Coating,Mechanical,35-1 Roller Joint,False,True
15,SPM-COM-007,700004894,Limit Switch,RJ,Z-15GW2-B,Common Part,Electric,RJ Z-15GW2-B Limit Switch,True,True
16,SPM-COM-004,700004891,Limit Switch,Tend,TZ-7310(D4MC)-5000,Common Part,Electric,Tend TZ-7310(D4MC)-5000 Limit Switch,True,True
17,SPM-COM-021,700004904,Air Nocker,SMC,XT 316-30B,Common Part,Mechanical,SMC XT 316-30B Air Nocker,True,True
18,SPM-HEM-001,700004950,Fuse,FUGI,BLC 120-1 AC 550/120 A,Slurry,Electric,FUGI BLC 120-1 AC 550/120 A Fuse,True,True
19,SPM-HEM-085,700005024,Centrifugal Pump,EBARA,EBRA CDX 90/10,Slurry,Mechanical,EBARA EBRA CDX 90/10 Centrifugal Pump,True,True
