PartID,PartCode,PartName,Brand,Description
1,SPM-CAL-002,Burner Control for X122,Honeywell,EC 7890 B 1010
3,SPM-CAL-006,Ignition,Maxon,
5,SPM-CAL-008,"Burner Control for X121 ,X123",Siemens,LMV51.100C2
6,SPM-CAL-009,Burner Control,Honeywell,EC7890 B 1010
7,SPM-CAL-010,Sensor Cable,Turck,WKC8T-2/TEL
9,SPM-CLN-008,Chain,,25-1R
10,SPM-CLN-009,Chain Joint,,25-1R
11,SPM-CLN-010,Roller Joint,,25-1R
12,SPM-CLN-011,Chain,,35-1R
13,SPM-CLN-012,Chain Joint,,35-1
14,SPM-CLN-013,Roller Joint,,35-1
15,SPM-COM-007,Limit Switch,RJ,Z-15GW2-B
16,SPM-COM-004,Limit Switch,Tend,TZ-7310(D4MC)-5000
17,SPM-COM-021,Air Nocker,SMC,XT 316-30B
18,SPM-HEM-001,Fuse,FUGI,BLC 120-1 AC 550/120 A
19,SPM-HEM-085,Centrifugal Pump,EBARA,EBRA CDX 90/10
20,SPM-HVA-001,Emergency stop,ABB,1SFA619550R1071
21,SPM-MC4-029,Pick & place rubber gripper,,Pick & place rubber gripper
22,SPM-MC4-034,Seal solenoid valve,Netzsch,CPV14-VI-P 1/8-150
23,SPM-MC4-041,Connector,Harting,91A279R08
24,SPM-MC4-043,Connection Units,IFM,EVC004
25,SPM-MC4-044,Seal Kit,Festo,DFM-50-PAABE6
26,SPM-MC4-049,Power Supply 230V-27V,Kuka,KBR POWER SUPPLY KUKA
28,SPM-MC4-069,SIB-Standard Complete,Kuka,
31,SPM-MC4-083,Directional Control Valve,SMC,VG342R-5DZ-06F-X87
32,SPM-MC4-128,Gasket,,Style 2500 L280xW154 mm.
33,SPM-MC6-006,Photoelectric Proximity Switch,Sick,WT18-3P431
34,SPM-MC6-025,Laser Displacement,IFM,01D105 01DLF3KG
35,SPM-MC6-026,LED Light Source,V.Light,TX2-D190X19-R3-R-24V
36,SPM-MC6-027,Light Source Control,V.Light,Power
37,SPM-MC6-030,Photo Sensor (Receiver),Sick,WE100L-F2132
38,SPM-MC6-060,Fitting & Pipe Set L62,Chanaseel,SUS 304
39,LEGACY-3529C0A82583,Bladder,,118.4/10 mm.
40,LEGACY-A56E3AC5A577,Ring Clamp,,"118.4/5 mm./MC6,MC4"
41,LEGACY-BB5075DBB9EA,Ring Clamp,,"118.4/10 mm./MC6,MC4"
42,LEGACY-3675CE2535E3,Ring Clamp,,93/5 mm.
43,SPM-RHK-041,Pneumatic Vibrator,,GT10
44,SPM-RHK-042,Fotek Proximity Switch,,PS-05N
45,SPM-RHK-043,Solenoid Valve,SMC,VT307V-5D1-01
46,SPM-COM-064,Viper Sounder,,VPR-MT32-230
47,SPM-HEM-099,Milling Hub 20L,P General,20L (Z-118)
48,SPM-MC4-144,Gas Solenoid Valve,Valvario,VAS1-R/NW 88007474
49,SPM-MC4-145,Digital Output Module,Siemens,ET 200SP
50,SPM-MC4-146,Power Supply PLC,Siemens,S7-1500
51,SPM-MC4-147,Guid Unit,Festo,FENG-50-300-KF
52,SPM-SCR-039,Motor Blow,Elektror,"HRD 2T FU-95/2,2"
53,SPM-MCY-128,Micro Mist Separator,SMC,AMH550C-F-10BD-T
54,SPM-MCY-129,Seal Kit,SMC,CY3B25-PS
55,SPM-WAS-026,Solenoid-Driven Metering Pump,TACMINA,PZ-30-VTCF-4X9PVC-W-S-JPL
56,SPM-WAS-027,Power Supply,,PS2494-YE
57,SPM-RHK-046,Shaft for Empty Station Shutter Door,,
58,SPM-RHK-044,Air Cylinder,SMC,CDBA2B50-250-HL-XC4
59,SPM-MC4-152,Flame Monitor,DURAG,AAL 75 P0D
60,SPM-MC6-162,Weighing Module,,7MH4900-2AA01
61,SPM-MC6-163,Power cable,,6FX5002-5CA41
62,SPM-RHK-048,Bearing Housing รอ Flage delete,,UCFL204
63,SPM-MCY-139,Needle Roller Bearing RNA6902R,NTN,RNA6902R
64,SPM-MCY-140,Linear Bushing LMF20UU,THK,LMF20UU
65,SPM-CAL-025,Gas Regulator FMF301510003AD,Pietro Fiorentini,FMF301510003AD
66,SPM-MC6-168,Double Motor Module,,6AU1425-0AA00-0AA0
67,SPM-MC6-169,Double Motor Module,,6SL3130-6AE21-0AB1
68,SPM-CLN-017,Chain,,25-1R
69,SPM-CLN-018,Chain,,35-1R
70,SPM-MC6-170,LED Light Source,V.Light,TX2-D190X19-R3-R-24V
71,SPM-SCR-032,Gas Train,,MB-ZRDLE 407 B01 S20
72,LEGACY-C729521311C7,Ring Clamp,,83/3 mm.
73,LEGACY-59C7569293E6,Bladder,,Free Size/All
74,LEGACY-53585E3676F8,Bladder,,118.4/5 mm.
75,SPM-NAU-005,Indicator Weight Scale,Precia Molen,X-112-B
76,SPM-NAU-007,Rotary Joint,Deubltn,Union 1/2 BSPRH (V201-0202-07-010)
77,SPM-NAU-008,Rotary Joint,Deubltn,Union 3/8 BSPRH (V201-0101-02-032
78,SPM-NAU-013,Oil Seal 35x52x7,,TC 35x52x7
79,SPM-PRE-001,Gasket,0,310x66x3
80,SPM-PRE-002,ER310-01Parect Electronic Regulator,CKD,ER310-010-B
81,SPM-PRE-003,Ministry Wiring Block Manifold,CKD,MN4TB210-H10-LT30-5-3
82,SPM-PRE-004,Fuse cap,-,PA 100
83,SPM-PRE-005,Fuse base,-,AFA 100
